Cond,n_osc,f_osc
1,0.0123456790123457,5
2,0,0
3,0,0
4,0.00546448087431694,4
5,0,0
6,0.00977198697068404,9
7,0.0166666666666667,4
8,0.0291970802919708,20
9,0.0126903553299492,20
10,0,0
11,0.00756620428751576,6
12,0.00847457627118644,2
13,0.0182648401826484,8
14,0.0176056338028169,15
15,0.0142857142857143,3
16,0.0211591536338546,23
17,0.0131926121372032,5
18,0.0129198966408269,10
19,0.00747384155455904,5
20,0.0106640814348037,22
21,0.0300157977883096,19
22,0,0
23,0,0
24,0,0
25,0,0
26,0.0108695652173913,2
27,0.00757575757575758,3
28,0.0105708245243129,5
29,0.0127388535031847,4
30,0.0114068441064639,9
